commit	status	description
9e8265f	startup-failure	attempt=1 exit=1 runtime=330s started_at=2026-04-15 12:51:47 ended_at=2026-04-15 12:57:17 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-1-20260415_125147.log
9e8265f	startup-failure	attempt=2 exit=1 runtime=345s started_at=2026-04-15 12:58:17 ended_at=2026-04-15 13:04:02 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-2-20260415_125817.log
9e8265f	startup-failure	attempt=1 exit=1 runtime=345s started_at=2026-04-15 13:18:34 ended_at=2026-04-15 13:24:19 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-1-20260415_131834.log
9e8265f	startup-failure	attempt=2 exit=1 runtime=345s started_at=2026-04-15 13:25:19 ended_at=2026-04-15 13:31:04 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-2-20260415_132519.log
9e8265f	startup-failure	attempt=3 exit=1 runtime=345s started_at=2026-04-15 13:32:04 ended_at=2026-04-15 13:37:49 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-3-20260415_133204.log
9e8265f	startup-failure	attempt=4 exit=1 runtime=345s started_at=2026-04-15 13:38:49 ended_at=2026-04-15 13:44:34 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-4-20260415_133849.log
9e8265f	startup-failure	attempt=5 exit=1 runtime=361s started_at=2026-04-15 13:45:34 ended_at=2026-04-15 13:51:35 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-5-20260415_134534.log
9e8265f	startup-failure	attempt=6 exit=1 runtime=345s started_at=2026-04-15 13:52:35 ended_at=2026-04-15 13:58:20 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-6-20260415_135235.log
9e8265f	startup-failure	attempt=7 exit=1 runtime=345s started_at=2026-04-15 13:59:20 ended_at=2026-04-15 14:05:05 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-7-20260415_135920.log
9e8265f	startup-failure	attempt=8 exit=1 runtime=345s started_at=2026-04-15 14:06:05 ended_at=2026-04-15 14:11:50 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-8-20260415_140605.log
9e8265f	startup-failure	attempt=9 exit=1 runtime=345s started_at=2026-04-15 14:12:50 ended_at=2026-04-15 14:18:35 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-9-20260415_141250.log
9e8265f	startup-failure	attempt=10 exit=1 runtime=345s started_at=2026-04-15 14:19:35 ended_at=2026-04-15 14:25:20 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-10-20260415_141935.log
9e8265f	startup-failure	attempt=11 exit=1 runtime=345s started_at=2026-04-15 14:26:20 ended_at=2026-04-15 14:32:05 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-11-20260415_142620.log
9e8265f	startup-failure	attempt=12 exit=1 runtime=345s started_at=2026-04-15 14:33:05 ended_at=2026-04-15 14:38:50 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-12-20260415_143305.log
